airport_code,city,state,metro_area,facility_name,longitude,latitude,air_service,cbsa_code,cbsa_type
SMF,Sacramento,CA,Sacramento--Roseville--Arden-Arcade CA,Sacramento Intl,-121.59078000000001,38.69542,1,40900.0,1
SMK,St Michael,AK,,St Michael,-162.11037,63.49005,1,,0
SMN,Salmon,ID,,Lemhi County Airport,-113.88133,45.12378,1,,0
SMX,Santa Maria,CA,Santa Maria-Santa Barbara CA,Santa Maria Public/Capt G Allan Hancock Fld,-120.45743999999999,34.898920000000004,1,42200.0,1
SNA,Santa Ana,CA,Los Angeles-Long Beach-Anaheim CA,John Wayne Airport - Orange County,-117.86822,33.675670000000004,1,31080.0,1
SNP,St Paul Island,AK,,St Paul Island,-170.22044,57.16733000000001,1,,0
SOV,Seldovia,AK,,Seldovia Airport,-151.70405,59.442440000000005,1,,0
SOW,Show Low,AZ,Show Low AZ,Show Low Municipal,-110.00567,34.26547,1,43320.0,2
SPI,Springfield,IL,Springfield IL,Abraham Lincoln Capital Airport,-89.67789,39.8441,1,44100.0,1
SPS,Wichita Falls,TX,Wichita Falls TX,Sheppard AFB/Wichita Falls Muni,-98.49189,33.9888,1,48660.0,1
SRQ,Sarasota/Bradenton,FL,North Port-Sarasota-Bradenton FL,Sarasota/Bradenton Intl,-82.55439,27.39545,1,35840.0,1
SRV,Stony River,AK,,Stony River,-156.58853,61.78975,1,,0
STC,St Cloud,MN,Minneapolis-St. Paul-Bloomington MN-WI,St Cloud Regional,-94.05988,45.54656,1,33460.0,1
STG,St George,AK,,St George,-169.66374,56.57735,1,,0
STL,St Louis,MO,St. Louis MO-IL,Lambert-St Louis Intl,-90.35999,38.747690000000006,1,41180.0,1
SUN,Hailey,ID,Hailey ID,Friedman Memorial,-114.29583000000001,43.504059999999996,1,25200.0,2
SUX,Sioux City,IA,Sioux City IA-NE-SD,Sioux Gateway/Col Bud Day Field,-96.38436999999999,42.4026,1,43580.0,1
SVA,Savoonga,AK,,Savoonga,-170.49264,63.68639,1,,0
SVC,Silver City (Hurley),NM,Silver City NM,Grant County,-108.15638999999999,32.63655,1,43500.0,2
SVS,Stevens Village,AK,,Stevens Village,-149.09592,66.00901,1,,0
SWF,Newburgh (New Windsor),NY,New York-Newark-Jersey City NY-NJ-PA,Stewart Intl,-74.10484,41.504090000000005,1,35620.0,1
SXP,Sheldon Point,AK,,Sheldon Point,-164.84778,62.520559999999996,1,,0
SYB,Seal Bay,AK,,Seal Bay Airport,-152.5,58.166669999999996,1,,0
SYR,Syracuse,NY,Syracuse NY,Syracuse Hancock Intl,-76.10631,43.11119,1,45060.0,1
TAL,Tanana,AK,,Ralph M Calhoun Meml,-152.10939,65.1744,1,,0
TBN,Fort Leonard Wood,MO,Fort Leonard Wood MO,Waynesville Regl Airport At Forney Field,-92.14074000000001,37.74163,1,22780.0,2
TCT,Takotna,AK,,Takotna,-156.06819,62.9927,1,,0
TEH,Tetlin,AK,,Tetlin,-142.52193,63.13381999999999,1,,0
TEX,Telluride,CO,,Telluride Regional,-107.90848000000001,37.953759999999996,1,,0
TKE,Tenakee Springs,AK,,Tenakee Springs SPB,-135.21844,57.77966,1,,0
TKJ,Tok,AK,,Tok,-143.00611999999998,63.295480000000005,1,,0
TLA,Teller,AK,,Teller,-166.33931,65.24038,1,,0
TLH,Tallahassee,FL,Tallahassee FL,Tallahassee Regional,-84.35033,30.39653,1,45220.0,1
TLJ,Takotna,AK,,Tatalina LRRS,-155.97653,62.894369999999995,1,,0
TLT,Tuluksak,AK,,Tuluksak,-160.96947,61.096830000000004,1,,0
TNC,Tin City,AK,,Tin City LRRS,-167.92166,65.56311,1,,0
TNK,Tununak,AK,,Tununak,-165.27165,60.57555,1,,0
TOG,Togiak Village,AK,,Togiak,-160.39693,59.05284,1,,0
TOL,Toledo (Swanton),OH,Toledo OH,Toledo Express,-83.80783000000001,41.58681,1,45780.0,1
TPA,Tampa,FL,Tampa-St. Petersburg-Clearwater FL,Tampa Intl,-82.53325,27.97547,1,45300.0,1
TRI,Bristol/Johnson/Kingsport (Blountville),TN,Kingsport-Bristol-Bristol TN-VA,Tri Cities Regl Tn/Va,-82.40742,36.47521,1,28700.0,1
TSM,Taos,NM,Taos NM,Taos Regl,-105.67243,36.45819,1,45340.0,2
TTN,Trenton (West Trenton),NJ,Trenton NJ,Trenton Mercer,-74.81347,40.27669,1,45940.0,1
TUL,Tulsa,OK,Tulsa OK,Tulsa Intl,-95.88824,36.198370000000004,1,46140.0,1
TUP,Tupelo,MS,Tupelo MS,Tupelo Regional,-88.7699,34.26811,1,46180.0,2
TUS,Tucson,AZ,Tucson AZ,Tucson Intl,-110.94103,32.11608,1,46060.0,1
TVC,Traverse City,MI,Traverse City MI,Cherry Capital,-85.58224,44.741440000000004,1,45900.0,2
TVF,Thief River Falls,MN,,Thief River Falls Regional,-96.18336,48.0655,1,,0
TWA,Twin Hills,AK,,Twin Hills,-160.27303999999998,59.075619999999994,1,,0
TWF,Twin Falls,ID,Twin Falls ID,Joslin Field - Magic Valley Regional,-114.48773999999999,42.4818,1,46300.0,2
TXK,Texarkana,AR,Texarkana TX-AR,Texarkana Regional - Webb Field,-93.99103000000001,33.453720000000004,1,45500.0,1
TYR,Tyler,TX,Tyler TX,Tyler Pounds Regional,-95.40239,32.35414,1,46340.0,1
TYS,Knoxville (Alcoa),TN,Knoxville TN,Mc Ghee Tyson,-83.99286,35.812490000000004,1,28940.0,1
UGB,Pilot Point,AK,,Pilot Point,-157.73987,57.42536,1,,0
UGI,Uganik,AK,,Uganik Airport,-153.5,57.88333000000001,1,,0
UIN,Quincy,IL,Quincy IL-MO,Quincy Regional-Baldwin Field,-91.19457,39.94273,1,39500.0,2
