"AIRPORT_CODE","CITY","STATE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","AIR_SERVICE","CBSA_CODE","CBSA_TYPE",
"","Madison","WI","Madison WI","",-89.381050,43.072930,0,31540,1,
"","Madison","WI","Madison WI","",-89.383840,43.080430,0,31540,1,
"","Madison","WI","Madison WI","",-89.375460,43.086340,0,31540,1,
"","Madison","WI","Madison WI","",-89.468970,43.076800,0,31540,1,
"","Shorewood Hills","WI","Madison WI","",-89.450870,43.078040,0,31540,1,
"","Shorewood Hills","WI","Madison WI","",-89.433960,43.075890,0,31540,1,
"","Madison","WI","Madison WI","University Station Clinic",-89.438510,43.076380,0,31540,1,
"","Madison","WI","Madison WI","Madison College Truax Campus",-89.330690,43.121280,0,31540,1,
"","Madison","WI","Madison WI","",-89.397500,43.073227,0,31540,1,
"","Madison","WI","Madison WI","flag stop",-89.364456,43.088573,0,31540,1,
"","Madison","WI","Madison WI","The Edgewater",-89.389350,43.079150,0,31540,1,
"","Verona","WI","Madison WI","Chinmi Cenex",-89.539100,42.989100,0,31540,1,
"","Mt Horeb","WI","Madison WI","Premier Co-op",-89.748200,43.006600,0,31540,1,
"","Janesville","WI","Janesville-Beloit WI","",-88.988000,42.719900,3,27500,1,
"","Dodgeville","WI","Madison WI","Dodgeville Citgo",-90.131400,42.964000,0,31540,1,
"","Racine","WI","Racine WI","",-87.812836,42.694120,3,39540,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","",-87.932960,43.038930,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Public Museum",-87.921330,43.040720,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Marquette University Student Union",-87.932110,43.040150,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Central Library",-87.921930,43.038650,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","General Mitchell International Airport",-87.924480,42.941750,1,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","6th/Reservoir",-87.918740,43.054780,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","MLK/Brown",-87.914480,43.056580,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Riverview",-87.895460,43.060330,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Humboldt/Commerce",-87.897870,43.058390,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Hillside Terrace",-87.918820,43.051120,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Lakefront Brewery",-87.905040,43.055360,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","University of Wisconsin Milwaukee Union",-87.881664,43.074581,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Downer/Park Place",-87.877740,43.067270,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Prospect/North",-87.883680,43.060290,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Golda Meir Library",-87.880770,43.077360,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Sandburg Hall",-87.882620,43.078530,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","North/Cambridge",-87.892170,43.060250,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","UWM Student Union",-87.882810,43.074890,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","",-87.977486,43.066837,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Zillman Park",-87.905400,43.004750,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Mitchell Field International Airport",-87.903000,42.947400,1,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Lake Express Terminal",-87.885730,43.003790,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Cesar Chavez Drive",-87.932780,43.020230,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","S. 2nd/Virginia",-87.912680,43.026280,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","6th/Virginia",-87.918040,43.026470,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","S. 2nd/Freshwater",-87.912820,43.029480,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","S. 2nd/Washington",-87.912540,43.020020,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Intermodal Station",-87.917500,43.034620,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Wisconsin Center",-87.916150,43.039130,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Greyhound Bus Station/Amtrak",-87.917000,43.034500,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Milwaukee Intermodal Terminal",-87.916480,43.034020,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","",-87.905290,43.039040,0,33340,1,
